pin1	pin2	pin3	pin4	pin5
43.1162	34.887	7.987	37.8663	40.6313
43.1292	34.9035	7.99468	37.8649	40.6496
43.1421	34.9199	8.00228	37.8635	40.6676
43.1548	34.9362	8.00983	37.862	40.6855
43.1675	34.9524	8.01732	37.8605	40.7032
43.18	34.9684	8.02474	37.8588	40.7206
43.1924	34.9843	8.03211	37.8571	40.7379
43.2047	35.0001	8.03941	37.8553	40.755
43.2169	35.0158	8.04666	37.8534	40.7719
43.229	35.0314	8.05385	37.8515	40.7886
43.241	35.0468	8.06098	37.8494	40.8051
43.2529	35.0622	8.06805	37.8473	40.8214
43.2647	35.0774	8.07507	37.8452	40.8376
43.2764	35.0925	8.08203	37.8429	40.8536
43.288	35.1076	8.08893	37.8406	40.8694
43.2995	35.1225	8.09578	37.8382	40.885
43.3109	35.1373	8.10258	37.8357	40.9005
43.3221	35.152	8.10932	37.8332	40.9157
43.3333	35.1666	8.11601	37.8306	40.9309
43.3444	35.1811	8.12265	37.8279	40.9458
43.3554	35.1954	8.12923	37.8251	40.9606
43.3663	35.2097	8.13577	37.8223	40.9753
43.3771	35.2239	8.14225	37.8194	40.9897
43.3878	35.2379	8.14868	37.8164	41.0041
43.3984	35.2519	8.15507	37.8133	41.0182
43.4089	35.2658	8.1614	37.8102	41.0322
43.4193	35.2795	8.16768	37.807	41.0461
43.4297	35.2932	8.17392	37.8037	41.0598
43.4399	35.3068	8.18011	37.8003	41.0734
43.4501	35.3202	8.18625	37.7969	41.0868
43.4602	35.3336	8.19234	37.7934	41.1001
43.4701	35.3469	8.19839	37.7898	41.1132
43.48	35.3601	8.20439	37.7861	41.1262
43.4898	35.3731	8.21035	37.7824	41.1391
43.4995	35.3861	8.21626	37.7786	41.1518
43.5092	35.399	8.22213	37.7747	41.1644
43.5187	35.4118	8.22795	37.7707	41.1768
43.5282	35.4245	8.23373	37.7667	41.1891
43.5376	35.4371	8.23947	37.7625	41.2013
43.5469	35.4497	8.24516	37.7583	41.2134
43.5561	35.4621	8.25081	37.7541	41.2253
43.5653	35.4744	8.25642	37.7497	41.2372
43.5743	35.4867	8.26199	37.7453	41.2489
43.5833	35.4988	8.26751	37.7407	41.2604
43.5922	35.5109	8.273	37.7361	41.2719
43.601	35.5229	8.27844	37.7315	41.2832
43.6098	35.5348	8.28385	37.7267	41.2944
43.6185	35.5466	8.28921	37.7219	41.3055
43.6271	35.5583	8.29454	37.7169	41.3165
43.6356	35.5699	8.29982	37.7119	41.3274
43.644	35.5815	8.30507	37.7068	41.3381
43.6524	35.593	8.31028	37.7017	41.3488
43.6607	35.6043	8.31546	37.6964	41.3593
43.6689	35.6156	8.32059	37.6911	41.3697
43.6771	35.6269	8.32569	37.6856	41.3801
43.6852	35.638	8.33076	37.6801	41.3903
43.6932	35.649	8.33578	37.6745	41.4004
43.7012	35.66	8.34077	37.6688	41.4104
43.709	35.6709	8.34573	37.663	41.4203
43.7168	35.6817	8.35065	37.6572	41.4301
43.7246	35.6925	8.35553	37.6512	41.4398
43.7323	35.7031	8.36038	37.6452	41.4495
43.7399	35.7137	8.3652	37.639	41.459
43.7474	35.7242	8.36998	37.6328	41.4684
43.7549	35.7346	8.37473	37.6265	41.4777
43.7623	35.745	8.37944	37.6201	41.487
