NOReflux NOQC,NOReflux QC,Reflux NOQC,Reflux QC
1.40732,1.66115,3.64516,2.59727
1.40812,1.66086,3.6329,2.6106
1.40904,1.66056,3.61972,2.62414
1.41011,1.66025,3.60676,2.6378
1.41129,1.65995,3.58436,2.65182
1.41256,1.65964,3.56058,2.66575
1.41389,1.65934,3.53562,2.67941
1.41528,1.65903,3.51185,2.6927
1.41675,1.65872,3.48799,2.70553
1.4183,1.65842,3.46438,2.71786
1.41996,1.65811,3.44152,2.7297
1.42175,1.65782,3.41956,2.741
1.42372,1.65753,3.39925,2.75165
1.42586,1.65724,3.38076,2.76141
1.42816,1.65697,3.36393,2.77002
1.43062,1.65671,3.34853,2.77716
1.43321,1.65647,3.33423,2.78285
1.43591,1.65624,3.32084,2.78725
1.43869,1.65604,3.31077,2.79045
1.44151,1.65585,3.29707,2.78213
1.44437,1.65568,3.28282,2.77742
1.44728,1.65553,3.26796,2.77328
1.45025,1.65541,3.25459,2.76893
1.45325,1.6553,3.2424,2.7631
1.45626,1.65521,3.23105,2.75606
1.45923,1.65514,3.21959,2.7475
1.46215,1.65509,3.20777,2.74125
1.46504,1.65506,3.19107,2.7233
1.46794,1.65504,3.1711,2.70552
1.47083,1.65504,3.1467,2.68602
1.47368,1.65505,3.12196,2.66663
1.47646,1.65508,3.09937,2.64761
1.47917,1.65512,3.08416,2.62896
1.48184,1.65518,3.07405,2.61067
1.48446,1.65524,3.07818,2.59254
1.48702,1.65531,3.08589,2.57456
1.48948,1.6554,3.09364,2.55672
1.49184,1.65549,3.09915,2.53892
1.49413,1.65559,3.10388,2.52108
1.49636,1.65571,3.11083,2.50845
1.49851,1.65582,3.11762,2.49631
1.50056,1.65595,3.12264,2.48296
1.5025,1.65608,3.12694,2.46883
1.5043,1.65621,3.12983,2.45415
1.50596,1.65634,3.13129,2.43917
